Isolate	volS_name	volB_name	label	diff_metric	volS_value	volB_value	diff_value	label_long
S8MRS2276	1uL	50uL	1uL & 50uL	Pf-MOI	4	5	1.25	1uL & 50uL (n=101)
S8MRS2444	1uL	50uL	1uL & 50uL	Pf-MOI	1	3	3	1uL & 50uL (n=101)
S8MRS2446	1uL	50uL	1uL & 50uL	Pf-MOI	2	3	1.5	1uL & 50uL (n=101)
S8MRS2454	1uL	50uL	1uL & 50uL	Pf-MOI	1	1	1	1uL & 50uL (n=101)
S8MRS2458	1uL	50uL	1uL & 50uL	Pf-MOI	5	8	1.6	1uL & 50uL (n=101)
S8MRS2473	1uL	50uL	1uL & 50uL	Pf-MOI	13	20	1.53846153846154	1uL & 50uL (n=101)
S8MRS2489	1uL	50uL	1uL & 50uL	Pf-MOI	6	8	1.33333333333333	1uL & 50uL (n=101)
S8MRS2491	1uL	50uL	1uL & 50uL	Pf-MOI	4	4	1	1uL & 50uL (n=101)
S8MRS2512	1uL	50uL	1uL & 50uL	Pf-MOI	1	4	4	1uL & 50uL (n=101)
S8MRS2517	1uL	50uL	1uL & 50uL	Pf-MOI	6	9	1.5	1uL & 50uL (n=101)
S8MRS2530	1uL	50uL	1uL & 50uL	Pf-MOI	2	2	1	1uL & 50uL (n=101)
S8MRS2533	1uL	50uL	1uL & 50uL	Pf-MOI	3	3	1	1uL & 50uL (n=101)
S8MRS2552	1uL	50uL	1uL & 50uL	Pf-MOI	1	1	1	1uL & 50uL (n=101)
S8MRS2568	1uL	50uL	1uL & 50uL	Pf-MOI	1	5	5	1uL & 50uL (n=101)
S8MRS0010	1uL	100uL	1uL & 100uL	Pf-MOI	1	5	5	1uL & 100uL (n=101)
S8MRS0041	1uL	100uL	1uL & 100uL	Pf-MOI	1	3	3	1uL & 100uL (n=101)
S8MRS0044	1uL	100uL	1uL & 100uL	Pf-MOI	1	4	4	1uL & 100uL (n=101)
S8MRS0050	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
S8MRS0060	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
S8MRS0063	1uL	100uL	1uL & 100uL	Pf-MOI	1	1	1	1uL & 100uL (n=101)
S8MRS0065	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
S8MRS0074	1uL	100uL	1uL & 100uL	Pf-MOI	5	13	2.6	1uL & 100uL (n=101)
S8MRS0089	1uL	100uL	1uL & 100uL	Pf-MOI	5	16	3.2	1uL & 100uL (n=101)
S8MRS0128	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
S8MRS0187	1uL	100uL	1uL & 100uL	Pf-MOI	2	2	1	1uL & 100uL (n=101)
S8MRS0190	1uL	100uL	1uL & 100uL	Pf-MOI	2	3	1.5	1uL & 100uL (n=101)
S8MRS0207	1uL	100uL	1uL & 100uL	Pf-MOI	1	12	12	1uL & 100uL (n=101)
S8MRS0209	1uL	100uL	1uL & 100uL	Pf-MOI	1	4	4	1uL & 100uL (n=101)
S8MRS0228	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
S8MRS0251	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
S8MRS0256	1uL	100uL	1uL & 100uL	Pf-MOI	3	7	2.33333333333333	1uL & 100uL (n=101)
S8MRS0257	1uL	100uL	1uL & 100uL	Pf-MOI	1	7	7	1uL & 100uL (n=101)
S8MRS0273	1uL	100uL	1uL & 100uL	Pf-MOI	6	8	1.33333333333333	1uL & 100uL (n=101)
S8MRS0280	1uL	100uL	1uL & 100uL	Pf-MOI	1	5	5	1uL & 100uL (n=101)
S8MRS0282	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
S8MRS0283	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
S8MRS0294	1uL	100uL	1uL & 100uL	Pf-MOI	1	1	1	1uL & 100uL (n=101)
S8MRS0299	1uL	100uL	1uL & 100uL	Pf-MOI	1	3	3	1uL & 100uL (n=101)
S8MRS0307	1uL	100uL	1uL & 100uL	Pf-MOI	2	8	4	1uL & 100uL (n=101)
S8MRS0312	1uL	100uL	1uL & 100uL	Pf-MOI	1	3	3	1uL & 100uL (n=101)
S8MRS0370	1uL	100uL	1uL & 100uL	Pf-MOI	1	11	11	1uL & 100uL (n=101)
S8MRS0443	1uL	100uL	1uL & 100uL	Pf-MOI	1	6	6	1uL & 100uL (n=101)
S8MRS0453	1uL	100uL	1uL & 100uL	Pf-MOI	1	7	7	1uL & 100uL (n=101)
S8MRS0464	1uL	100uL	1uL & 100uL	Pf-MOI	1	3	3	1uL & 100uL (n=101)
S8MRS0466	1uL	100uL	1uL & 100uL	Pf-MOI	1	4	4	1uL & 100uL (n=101)
S8MRS0484	1uL	100uL	1uL & 100uL	Pf-MOI	1	5	5	1uL & 100uL (n=101)
S8MRS0490	1uL	100uL	1uL & 100uL	Pf-MOI	1	3	3	1uL & 100uL (n=101)
S8MRS0491	1uL	100uL	1uL & 100uL	Pf-MOI	1	1	1	1uL & 100uL (n=101)
S8MRS0515	1uL	100uL	1uL & 100uL	Pf-MOI	5	6	1.2	1uL & 100uL (n=101)
S8MRS0527	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
S8MRS0532	1uL	100uL	1uL & 100uL	Pf-MOI	2	8	4	1uL & 100uL (n=101)
S8MRS0533	1uL	100uL	1uL & 100uL	Pf-MOI	1	3	3	1uL & 100uL (n=101)
S8MRS0559	1uL	100uL	1uL & 100uL	Pf-MOI	1	6	6	1uL & 100uL (n=101)
S8MRS0569	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
S8MRS0572	1uL	100uL	1uL & 100uL	Pf-MOI	1	5	5	1uL & 100uL (n=101)
S8MRS0581	1uL	100uL	1uL & 100uL	Pf-MOI	2	10	5	1uL & 100uL (n=101)
S8MRS0586	1uL	100uL	1uL & 100uL	Pf-MOI	2	3	1.5	1uL & 100uL (n=101)
S8MRS0588	1uL	100uL	1uL & 100uL	Pf-MOI	1	3	3	1uL & 100uL (n=101)
S8MRS0602	1uL	100uL	1uL & 100uL	Pf-MOI	1	4	4	1uL & 100uL (n=101)
S8MRS0633	1uL	100uL	1uL & 100uL	Pf-MOI	2	3	1.5	1uL & 100uL (n=101)
S8MRS0634	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
S8MRS0636	1uL	100uL	1uL & 100uL	Pf-MOI	2	5	2.5	1uL & 100uL (n=101)
S8MRS0649	1uL	100uL	1uL & 100uL	Pf-MOI	1	3	3	1uL & 100uL (n=101)
S8MRS0655	1uL	100uL	1uL & 100uL	Pf-MOI	7	7	1	1uL & 100uL (n=101)
S8MRS0656	1uL	100uL	1uL & 100uL	Pf-MOI	1	1	1	1uL & 100uL (n=101)
S8MRS0659	1uL	100uL	1uL & 100uL	Pf-MOI	1	1	1	1uL & 100uL (n=101)
S8MRS0660	1uL	100uL	1uL & 100uL	Pf-MOI	2	12	6	1uL & 100uL (n=101)
S8MRS0668	1uL	100uL	1uL & 100uL	Pf-MOI	1	2	2	1uL & 100uL (n=101)
